name,slug,unique_id
Unknown,unknown,0
BlockFills,blockfills,1
ULTIMUSPOOL,ultimuspool,2
Terra Pool,terrapool,3
Luxor,luxor,4
1THash,1thash,5
BTC.com,btccom,6
Bitfarms,bitfarms,7
Huobi.pool,huobipool,8
WAYI.CN,wayicn,9
CanoePool,canoepool,10
BTC.TOP,btctop,11
Bitcoin.com,bitcoincom,12
175btc,175btc,13
GBMiners,gbminers,14
A-XBT,axbt,15
ASICMiner,asicminer,16
BitMinter,bitminter,17
BitcoinRussia,bitcoinrussia,18
BTCServ,btcserv,19
simplecoin.us,simplecoinus,20
BTC Guild,btcguild,21
Eligius,eligius,22
OzCoin,ozcoin,23
EclipseMC,eclipsemc,24
MaxBTC,maxbtc,25
TripleMining,triplemining,26
CoinLab,coinlab,27
50BTC,50btc,28
GHash.IO,ghashio,29
ST Mining Corp,stminingcorp,30
Bitparking,bitparking,31
mmpool,mmpool,32
Polmine,polmine,33
KnCMiner,kncminer,34
Bitalo,bitalo,35
F2Pool,f2pool,36
HHTT,hhtt,37
MegaBigPower,megabigpower,38
Mt Red,mtred,39
NMCbit,nmcbit,40
Yourbtc.net,yourbtcnet,41
Give Me Coins,givemecoins,42
Braiins Pool,braiinspool,43
AntPool,antpool,44
MultiCoin.co,multicoinco,45
bcpool.io,bcpoolio,46
Cointerra,cointerra,47
KanoPool,kanopool,48
Solo CK,solock,49
CKPool,ckpool,50
NiceHash,nicehash,51
BitClub,bitclub,52
Bitcoin Affiliate Network,bitcoinaffiliatenetwork,53
BTCC,btcc,54
BWPool,bwpool,55
EXX&BW,exxbw,56
Bitsolo,bitsolo,57
BitFury,bitfury,58
21 Inc.,21inc,59
digitalBTC,digitalbtc,60
8baochi,8baochi,61
myBTCcoin Pool,mybtccoinpool,62
TBDice,tbdice,63
HASHPOOL,hashpool,64
Nexious,nexious,65
Bravo Mining,bravomining,66
HotPool,hotpool,67
OKExPool,okexpool,68
BCMonster,bcmonster,69
1Hash,1hash,70
Bixin,bixin,71
TATMAS Pool,tatmaspool,72
ViaBTC,viabtc,73
ConnectBTC,connectbtc,74
BATPOOL,batpool,75
Waterhole,waterhole,76
DCExploration,dcexploration,77
DCEX,dcex,78
BTPOOL,btpool,79
58COIN,58coin,80
Bitcoin India,bitcoinindia,81
shawnp0wers,shawnp0wers,82
PHash.IO,phashio,83
RigPool,rigpool,84
HAOZHUZHU,haozhuzhu,85
7pool,7pool,86
MiningKings,miningkings,87
HashBX,hashbx,88
DPOOL,dpool,89
Rawpool,rawpool,90
haominer,haominer,91
Helix,helix,92
Bitcoin-Ukraine,bitcoinukraine,93
Poolin,poolin,94
SecretSuperstar,secretsuperstar,95
tigerpool.net,tigerpoolnet,96
Sigmapool.com,sigmapoolcom,97
okpool.top,okpooltop,98
Hummerpool,hummerpool,99
Tangpool,tangpool,100
BytePool,bytepool,101
SpiderPool,spiderpool,102
NovaBlock,novablock,103
MiningCity,miningcity,104
Binance Pool,binancepool,105
Minerium,minerium,106
Lubian.com,lubiancom,107
OKKONG,okkong,108
AAO Pool,aaopool,109
EMCDPool,emcdpool,110
Foundry USA,foundryusa,111
SBI Crypto,sbicrypto,112
ArkPool,arkpool,113
PureBTC.COM,purebtccom,114
MARA Pool,marapool,115
KuCoinPool,kucoinpool,116
Entrust Charity Pool,entrustcharitypool,117
OKMINER,okminer,118
Titan,titan,119
PEGA Pool,pegapool,120
BTC Nuggets,btcnuggets,121
CloudHashing,cloudhashing,122
digitalX Mintsy,digitalxmintsy,123
Telco 214,telco214,124
BTC Pool Party,btcpoolparty,125
Multipool,multipool,126
transactioncoinmining,transactioncoinmining,127
BTCDig,btcdig,128
Tricky's BTC Pool,trickysbtcpool,129
BTCMP,btcmp,130
Eobot,eobot,131
UNOMP,unomp,132
Patels,patels,133
GoGreenLight,gogreenlight,134
BitcoinIndia,bitcoinindia,135
EkanemBTC,ekanembtc,136
CANOE,canoe,137
tiger,tiger,138
1M1X,1m1x,139
Zulupool,zulupool,140
SECPOOL,secpool,141
OCEAN,ocean,142
WhitePool,whitepool,143
wiz,wiz,144
mononaut,mononaut,145
rijndael,rijndael,146
wk057,wk057,147
FutureBit Apollo Solo,futurebitapollosolo,148
emzy,emzy,149
knorrium,knorrium,150
Carbon Negative,carbonnegative,151
Portland.HODL,portlandhodl,152
Phoenix,phoenix,153
Neopool,neopool,154
MaxiPool,maxipool,155
DrDetroit,drdetroit,156
BitFuFuPool,bitfufupool,157
GDPool,gdpool,158
Mining-Dutch,miningdutch,159
Public Pool,publicpool,160
Mining Squared,miningsquared,161
Innopolis Tech,innopolistech,162
nymkappa,nymkappa,163
BTCLab,btclab,164
Parasite,parasite,165
RedRock Pool,redrockpool,166
Est3lar,est3lar,167
